anio,precio_usd,tipo_cambio,ipc,precio_soles_corrientes,precio_target,distrito,superficie,habitaciones,banos,garajes,piso,vista_exterior,antiguedad
2018,99000.0,3.238480555555556,128.01399333333333,320609.575,250448.85066991896,Breña,119.0,3.0,2.0,1,3,1,1
2018,89000.0,3.238480555555556,128.01399333333333,288224.76944444445,225150.98696588675,Breña,74.5,2.0,1.0,0,4,1,56
2018,98000.0,3.238480555555556,128.01399333333333,317371.09444444446,247919.06429951574,Breña,82.0,3.0,1.0,0,4,1,25
2018,159900.0,3.238480555555556,128.01399333333333,517833.0408333334,404512.84062747523,Breña,105.0,4.0,2.0,0,2,0,30
2018,135000.0,3.238480555555556,128.01399333333333,437194.87500000006,341521.160004435,Breña,93.0,2.0,1.0,0,2,1,25
2018,101529.0,3.238480555555556,128.01399333333333,328799.692325,256846.68040066873,Breña,70.0,3.0,2.0,0,5,1,0
2018,35000.0,3.238480555555556,128.01399333333333,113346.81944444445,88542.52296411277,Breña,38.49,2.0,1.0,0,1,1,64
2018,69000.0,3.238480555555556,128.01399333333333,223455.15833333335,174555.2595578223,Breña,74.0,3.0,1.0,0,2,0,24
2018,69000.0,3.238480555555556,128.01399333333333,223455.15833333335,174555.2595578223,Breña,72.0,2.0,1.0,0,2,1,40
2018,75000.0,3.238480555555556,128.01399333333333,242886.0416666667,189733.97778024164,Breña,70.0,3.0,2.0,1,3,0,7
2018,87000.0,3.238480555555556,128.01399333333333,281747.80833333335,220091.4142250803,Breña,90.0,2.0,1.0,1,1,0,7
2018,85321.0,3.238480555555556,128.01399333333333,276310.39948055556,215843.90290917328,Breña,66.34,3.0,2.0,0,3,1,3
2018,69000.0,3.238480555555556,128.01399333333333,223455.15833333335,174555.2595578223,Breña,61.0,3.0,1.0,2,5,1,14
2018,77000.0,3.238480555555556,128.01399333333333,249363.0027777778,194793.55052104808,Breña,75.0,3.0,2.0,0,7,1,8
2018,91437.0,3.238480555555556,128.01399333333333,296116.94655833335,231316.0763505594,Breña,64.0,3.0,2.0,0,9,1,1
2018,63000.0,3.238480555555556,128.01399333333333,204024.27500000002,159376.541335403,Breña,40.0,2.0,1.0,0,2,1,30
2018,55000.0,3.238480555555556,128.01399333333333,178116.43055555556,139138.25037217722,Carabayllo,120.0,3.0,2.0,0,2,1,1
2018,57798.0,3.238480555555556,128.01399333333333,187177.69915,146216.59263656542,Carabayllo,97.0,3.0,2.0,2,5,1,1
2018,52000.0,3.238480555555556,128.01399333333333,168400.9888888889,131548.89126096756,Carabayllo,84.0,3.0,2.0,0,3,1,2
2018,79000.0,3.238480555555556,128.01399333333333,255839.96388888892,199853.12326185455,Carabayllo,99.72,3.0,3.0,0,3,1,0
